,user_id,comment,time,date,rating
38,user_39,"He ido 2 días a este sitio;

El primer día pedimos unas tostadas de pan brioche con queso y huevo. Tardaron media hora en sacárnoslas (no había casi gente porque era entre semana y por la mañana), con la excusa de que no había pan brioche.
En vez de salir a preguntarnos a ver si queríamos pedir otra cosa, nos la sacaron con pan rústico, con rucula y algo verde líquido por encima (que no ponía en la carta que llevaba). A mi acompañante no le gustaba el pan rústico y yo soy alérgica a la rucula. No dijimos nada porque no queríamos esperar otra media hora por una simple tostada.

3 días después fuimos para darle otra oportunidad, pedimos lo mismo. Tardaron en atendernos 20 minutos, pero lo entendimos porque ese día había gente. Lo mismo en servirnos.
Esta vez si había pan brioche, pero la tostada no era con los quesos que ponía en la carta; mozzarella, havarti y provolone creo recordar. Llevaba queso de cabra, que a mi no me gusta.
Tampoco avisaron.

No volveré a ir, deberían avisar de esas cosas, por si hay alguien a quien no le gusta/es alérgico a lo que van a poner como reemplazo.

Por lo menos el huevo estaba bien",Hace 4 meses,2024-08-22,2 estrellas
39,user_40,"Vegetariano recomendable para los que les gusta comer saludable y de cocina elaborada. Se echa de menos un menú diario, por lo de más la carta ofrece muchas posibilidades de elección. Trato muy agradable, facilidad para aparcar y con terraza perfecta para el buen tiempo. Las cantidades un poco justas por poner un pero. De 15 a 20€ persona",Hace 7 años,2017-12-22,4 estrellas
40,user_41,"La simpatía del personal no es el punto fuerte del curry verde desde luego, si te preguntan por donde quieres el café si en taza o en vaso, es una trampa, en taza son 2€ y en vaso 2,80€, la comida está bien pero nada del otro mundo, con lo que te cobran mínimo te tienen que servir con cubiertos de oro, por no decir que encima nos han echado porque querían servir en esa mesa próximas comidas, increíble, ah y el café doble son 36g, un chupito vaya, una y no más",Hace un mes,2024-11-22,1 estrella
41,user_42,"Tienen una amplia variedad de opciones veganas (también aptas a vegetarianos, además de tener también opciones únicamente vegetarianas) y la verdad que ""los tacos"" me sorprendieron de manera inesperada con la piña.

A diferencia de la croqueta de broccoli, la Samosa no me sorprendió tanto.

El sitio es enorme y con amplia terraza, pero al ser tan grande, el servicio me pareció un poco lento, pero recalcó que es un sitio de 10 para cenar, ojalá saquen más opciones para ir probando. Los precios son bastante asequibles.",Hace 5 años,2019-12-22,5 estrellas
42,user_43,Restaurante vegetariano con vistas al puerto deportivo de Hondarribia. Antes estaba en el barrio de la Marina. Buena comida y buen trato. Totalmente recomendable. Tambien dan desayunos con tostas y yogures de caserío. Espacio amplio para ir con coches de niños. Amplia terraza cubierta.,Hace 6 años,2018-12-22,5 estrellas
43,user_44,"Muy buen sitio para comer. Suele estar lleno así que te recomiendo que pidas mesa por teléfono y la reserves. Deja hueco para sus postres porque merecen mucho la pena. Las servilletas son de tela y el agua en jarra, no en plástico (punto extra).",Hace 4 años,2020-12-22,5 estrellas
44,user_45,"He ido muchas veces a este restaurante y siempre salgo con una sonrisa.
Todos los platos que he probado me han gustado. De la carta actual destacaría la hamburguesa de remolacha, el curry verde. La lemon pie está INCREÍBLE!!
La atención como siempre super amable.
Espero volver muchas veces más.",Hace un año,2023-12-22,5 estrellas
45,user_46,Todo muy rico  ha sido un acierto el comer en este sitio la buger de setas increible jugosa tierna en pan era de mollete la combinacion un 10 y el bizcocho de zanahoria espectacular aademas un punto a su favor es que el agua es gratis,Hace 3 años,2021-12-22,5 estrellas
46,user_47,"Excelente atención.
Vistas muy agradables al puerto deportivo.
Muy bien para ir con niños.
Se puede ir en coche y aparcar fácilmente.
Tienen acceso para minusválidos.
La carta tiene múltiples posibilidades para veganos y vegetarianos. Todo delicioso.",Hace 5 años,2019-12-22,5 estrellas
47,user_48,Estupendos desayunos y riquísimas comidas en un entorno maravilloso. Además van cambiando la elaboración de platos regularmente y ahora con menú del día,Hace un año,2023-12-22,5 estrellas
